br-dashboard-api  | [03:33:54 INF] Received HTTP response headers after 37.2742ms - 400
br-dashboard-api  | [03:33:54 INF] End processing HTTP request after 37.884ms - 400
br-dashboard-api  | [03:33:58 INF] HTTP GET /health/live responded 200 in 0.6100 ms
br-dashboard-api  | [03:33:59 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:59 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:59 INF] Received HTTP response headers after 55.5645ms - 400
br-dashboard-api  | [03:33:59 INF] End processing HTTP request after 56.2297ms - 400
br-dashboard-api  | [03:34:02 INF] HTTP GET /metrics responded 200 in 9.8161 ms
br-dashboard-api  | [03:34:04 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:04 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:04 INF] Received HTTP response headers after 37.2815ms - 400
br-dashboard-api  | [03:34:04 INF] End processing HTTP request after 37.5503ms - 400
br-dashboard-api  | [03:34:09 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:09 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:09 INF] Received HTTP response headers after 55.8356ms - 400
br-dashboard-api  | [03:34:09 INF] End processing HTTP request after 56.0687ms - 400
br-dashboard-api  | [03:34:12 INF] HTTP GET /metrics responded 200 in 8.7760 ms
br-dashboard-api  | [03:34:13 INF] HTTP GET /health/live responded 200 in 0.1568 ms
br-dashboard-api  | [03:34:14 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:14 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:14 INF] Received HTTP response headers after 40.9029ms - 400
br-dashboard-api  | [03:34:14 INF] End processing HTTP request after 41.5265ms - 400
br-dashboard-api  | [03:34:19 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:19 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:19 INF] Received HTTP response headers after 41.0637ms - 400
br-dashboard-api  | [03:34:19 INF] End processing HTTP request after 41.2709ms - 400
br-dashboard-api  | [03:34:22 INF] HTTP GET /metrics responded 200 in 8.5844 ms
br-dashboard-api  | [03:34:24 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:24 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:24 INF] Received HTTP response headers after 43.7341ms - 400
br-dashboard-api  | [03:34:24 INF] End processing HTTP request after 43.9924ms - 400
br-dashboard-api  | [03:34:28 INF] HTTP GET /health/live responded 200 in 0.2606 ms
br-dashboard-api  | [03:34:29 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:29 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:29 INF] Received HTTP response headers after 44.0384ms - 400
br-dashboard-api  | [03:34:29 INF] End processing HTTP request after 44.7399ms - 400
br-dashboard-api  | [03:34:32 INF] HTTP GET /metrics responded 200 in 8.8263 ms
br-dashboard-api  | [03:34:34 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:34 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:34 INF] Received HTTP response headers after 61.1153ms - 400
br-dashboard-api  | [03:34:34 INF] End processing HTTP request after 61.4363ms - 400
br-dashboard-api  | [03:34:39 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:39 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:39 INF] Received HTTP response headers after 40.9796ms - 400
br-dashboard-api  | [03:34:39 INF] End processing HTTP request after 41.4424ms - 400
br-dashboard-api  | [03:34:42 INF] HTTP GET /metrics responded 200 in 7.7209 ms
br-dashboard-api  | [03:34:43 INF] HTTP GET /health/live responded 200 in 0.2507 ms
br-dashboard-api  | [03:34:44 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:44 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:44 INF] Received HTTP response headers after 58.2627ms - 400
br-dashboard-api  | [03:34:44 INF] End processing HTTP request after 58.6475ms - 400
br-dashboard-api  | [03:34:49 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:49 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:49 INF] Received HTTP response headers after 49.507ms - 400
br-dashboard-api  | [03:34:49 INF] End processing HTTP request after 49.7344ms - 400
br-dashboard-api  | [03:34:52 INF] HTTP GET /metrics responded 200 in 8.4613 ms
br-dashboard-api  | [03:34:54 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:54 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:54 INF] Received HTTP response headers after 63.3441ms - 400
br-dashboard-api  | [03:34:54 INF] End processing HTTP request after 63.808ms - 400
br-dashboard-api  | [03:34:58 INF] HTTP GET /health/live responded 200 in 0.3033 ms
br-dashboard-api  | [03:34:59 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:59 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:34:59 INF] Received HTTP response headers after 75.0838ms - 400
br-dashboard-api  | [03:34:59 INF] End processing HTTP request after 75.5237ms - 400
br-dashboard-api  | [03:35:02 INF] HTTP GET /metrics responded 200 in 10.1040 ms
br-dashboard-api  | [03:35:04 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:04 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:04 INF] Received HTTP response headers after 52.0584ms - 400
